Latitude;Longitude;Time;Date;Number of Sats;GPS Speed (Kn);GPS True Heading;GPS Magnetic Variation;HDOP;C Magnetic Heading;C True Heading;Pitch Angle;Roll Angle;C Inside Temp (c);DFS Depth (m);DTB Height (m);Total Water Column (m);Batt Percent;Power Watts;Watt-Hours;Batt Volts;Batt Ampers;Batt State;Time to Empty;Current Step;Dist To Next (m);Next Speed (kn);Vehicle Speed (kn);Motor Speed CMD;Next Heading;Next Long;Next Lat;Next Depth (m);Depth Goal (m);Vehicle State;Error State;Distance to Track (m);Fin Pitch R;Fin Pitch L;Pitch Goal;Fin Yaw T;Fin Yaw B;Yaw Goal;Fin Roll;DVL-Depth (m);DVL -Altitude (m);DVL -Water Column (m);DVL-FixType;DVL-FixQuality;DVL-Temperature;Conductivity (mmhos/cm);Temperature (c);Salinity (ppt);Sound Speed (m/s);Date m/d/y   ;Time hh:mm:ss;Temp C;SpCond mS/cm;Sal ppt;Depth feet;pH;pH mV;Turbid+ NTU;Chl ug/L;BGA-PC cells/mL;ODOsat %;ODO mg/L;Battery volts;ROSEM Command Type;
37.2386685;-107.909269;10:30:17.59;6/11/2019;10;0.348;175.97;9.1917861322305;0.83;154.6;160.67;3.51;-2.96;19.8;.00;.69;.69;96;21;519.2;16.3;-1.3;D;1659.3;0;271.377;2.5;0;128;176.19;-107.90906479;37.23623469;0;0;1;N;200.3163;78;78;11;48;48;141.3229;0;9999.99;.72;0.847;2;9;18.7;0;18.7000007629395;0.22;1478.52954;06/11/19;10:15:37;16.23;0.460;0.22;-6.267;9.26;-129.5;0.7;-4.2;-3907;81.0;7.95;12.5;;
37.238667;-107.909268333333;10:30:18.61;6/11/2019;10;0.439;175.97;9.1917861322305;0.83;151.7;157.82;3.71;-2.75;19.7;.00;.72;.72;96;21;519.2;16.3;-1.3;D;1659.3;0;271.232;2.5;0;128;176.18;-107.90906479;37.23623469;0;0;1;N;200.1729;79;79;11;59;59;141.3086;0;9999.99;.75;0.877;2;9;18.7;0;18.7000007629395;0.22;1478.52954;06/11/19;10:15:39;16.24;0.460;0.22;-6.266;9.22;-127.1;-0.6;-1.0;-1755;81.3;7.97;12.4;;
37.2386648333333;-107.909267833333;10:30:19.61;6/11/2019;10;0.358;175.97;9.1917861322305;0.83;148;154.21;4.93;0.01;19.7;.01;.73;.74;96;23;519.2;16.3;-1.4;D;1536.5;0;270.878;2.5;0.36;184;176.21;-107.90906479;37.23623469;0;0;1;N;200.1729;87;87;11;215;215;176.2046;0;9999.99;.76;0.887;2;9;18.7;0;18.7000007629395;0.22;1478.52954;06/11/19;10:15:39;16.24;0.460;0.22;-6.266;9.22;-127.1;-0.6;-1.0;-1755;81.3;7.97;12.4;;
37.2386595;-107.909267333333;10:30:20.61;6/11/2019;10;0.978;175.97;9.1917861322305;0.83;148.1;154.31;4.56;7.61;19.8;.03;.72;.75;96;23;519.2;16.3;-1.4;D;1536.5;0;270.626;2.5;0.45;184;176.21;-107.90906479;37.23623469;0;0;1;N;200.1729;84;84;11;215;215;176.2117;0;9999.99;.77;0.897;2;9;18.7;0;18.7000007629395;0.22;1478.53172;06/11/19;10:15:40;16.24;0.461;0.22;-6.266;9.23;-127.4;-0.2;-1.8;-179;81.4;7.98;12.6;;
37.2386503333333;-107.909258333333;10:30:21.61;6/11/2019;10;1.595;161.78;9.1917861322305;0.83;157.6;163.64;1.86;4.5;19.7;.01;.77;.79;96;45;519.2;16.3;-2.7;D;781.6;0;269.934;2.5;0.75;184;176.22;-107.90906479;37.23623469;0;0;1;N;200.1729;70;70;11;182;182;176.2143;0;9999.99;.80;0.927;2;9;18.7;0;18.7000007629395;0.22;1478.53336;06/11/19;10:15:42;16.26;0.462;0.22;-6.256;9.18;-124.5;-0.9;-6.8;-1742;81.4;7.98;12.7;;
37.238641;-107.909252333333;10:30:22.61;6/11/2019;10;1.794;163.22;9.1917861322305;0.83;160.7;166.72;2.78;4.9;19.8;.00;.85;.85;96;51;519.2;16.3;-3.1;D;691.1;0;268.689;2.5;1.11;184;176.37;-107.90906479;37.23623469;0;0;1;N;200.1729;72;72;11;169;169;176.3719;0;9999.99;.87;0.997;2;9;18.6;0;18.7000007629395;0.22;1478.53336;06/11/19;10:15:42;16.26;0.462;0.22;-6.256;9.18;-124.5;-0.9;-6.8;-1742;81.4;7.98;12.7;;
37.2386316666667;-107.909249666667;10:30:23.61;6/11/2019;10;1.93;166.12;9.1917861322305;0.83;165.8;171.82;2.57;5.22;19.7;.00;.87;.87;96;51;519.2;16.3;-3.1;D;691.1;0;267.453;2.5;1.38;184;176.47;-107.90906479;37.23623469;0;0;1;N;200.1729;72;72;11;146;146;176.4662;0;9999.99;.89;1.017;2;9;18.6;0;18.6000003814697;0.22;1478.21146;06/11/19;10:15:43;16.28;0.462;0.22;-6.202;9.14;-122.7;-0.5;-0.8;-1542;81.5;7.99;12.4;;
37.2386212269505;-107.90924803399;10:30:24.61;6/11/2019;10;2.013;170.95;9.1917861322305;0.83;168.7;174.74;3.84;4.19;19.7;.01;1.00;1.01;96;51;519.2;16.3;-3.1;D;691.1;0;265.868;2.5;1.63;184;176.5;-107.90906479;37.23623469;0;0;1;N;200.1729;80;80;11;134;134;176.4981;0;9999.99;1.03;1.157;2;9;18.6;0;18.6000003814697;0.22;1478.21176;06/11/19;10:15:45;16.32;0.462;0.22;-6.227;9.13;-122.0;-0.7;-4.9;-1327;81.6;7.99;12.5;;
37.2386116666667;-107.9092465;10:30:25.61;6/11/2019;10;2.133;174.04;9.1917861322305;0.83;170.6;176.67;2.81;5.65;19.7;.01;1.12;1.13;96;51;519.2;16.3;-3.1;D;691.1;0;264.966;2.5;1.82;184;176.51;-107.90906479;37.23623469;0;0;1;N;200.1729;74;74;11;128;128;176.5063;0;9999.99;1.15;1.277;2;9;18.6;0;18.6000003814697;0.22;1478.21176;06/11/19;10:15:45;16.32;0.462;0.22;-6.227;9.13;-122.0;-0.7;-4.9;-1327;81.6;7.99;12.5;;
37.2386013333333;-107.909245666667;10:30:26.61;6/11/2019;10;2.233;176.52;9.1917861322305;0.83;172.3;178.39;2.51;5.8;19.7;.00;1.22;1.22;96;47;519.1;16.3;-2.9;D;736.9;0;263.879;2.5;1.96;184;176.51;-107.90906479;37.23623469;0;0;1;N;200.1729;71;71;11;120;120;176.5154;0;9999.99;1.24;1.367;2;9;18.6;0;18.6000003814697;0.22;1478.21195;06/11/19;10:15:47;16.33;0.463;0.22;-6.219;9.12;-121.1;-1.2;-5.6;-2565;81.7;8.00;12.4;;
